,race_id,goal_order,start_number,horse_name,horse_age,weight,jockey_id,single_odds,hourse_weight,weight_change,multi_odds
1723,202201010105,4,3,ノーブルヴィクター,-1.1502548377903121,-0.18229082941864605,1091,-0.5008453195149019,-0.33964276748001915,0.0735134518331144,-0.4853359562737195
1724,202201010105,5,1,シゲルカミカゼ,-1.1502548377903121,-0.18229082941864605,1095,-0.3906893043002976,0.8033655552778151,0.0735134518331144,-0.33377086700573616
1725,202201010105,6,11,ラリーレイド,-1.1502548377903121,-0.18229082941864605,5203,-0.6785163117965215,0.3999508531279912,0.0735134518331144,-0.6135833395004747
1726,202201010105,7,7,プロテア,-1.1502548377903121,-0.18229082941864605,1032,-0.5494087240718778,0.26547928574471663,0.0735134518331144,-0.47367710325310547
1727,202201010105,8,9,リボンピーチ,-1.1502548377903121,-1.6977794074535777,1202,-0.5091366324880441,-0.003463849021832613,0.0735134518331144,-0.49116538278402655
1728,202201010105,9,14,モカラエース,-1.1502548377903121,-0.18229082941864605,1015,-0.4475440218304159,-0.33964276748001915,0.0735134518331144,-0.4124681248948813
1729,202201010105,10,6,コパノスタンリー,-1.1502548377903121,-1.1926165481086004,1186,-0.29830038831385536,0.3999508531279912,0.0735134518331144,-0.3600032863021179
1730,202201010105,11,2,サルジュターグ,-1.1502548377903121,-0.18229082941864605,1127,-0.2485525104750018,0.6016582042029032,0.0735134518331144,-0.23467061633051634
1731,202201010105,12,10,プライムトゥーレ,-1.1502548377903121,-0.18229082941864605,1144,0.32473255795369127,0.3327150694363539,0.0735134518331144,0.13841268032913515
1732,202201010105,13,5,トロルトゥンガ,-1.1502548377903121,-0.18229082941864605,1093,0.5604427410473066,0.7361297715861778,0.0735134518331144,0.5493872493057823
1733,202201010105,14,13,コパノサンタアナ,-1.1502548377903121,-0.6874536887636232,1182,0.8826194737179772,0.131007718361442,0.0735134518331144,0.8700057073726702
1734,202201010106,1,8,サルサロッサ,-0.3712348946887113,-0.18229082941864605,1157,-0.6335063270851778,-0.4741143348632938,1.0191835363608703,-0.5698626406731718
1735,202201010106,2,11,チカレンヌ,-0.3712348946887113,-0.18229082941864605,666,-0.38476693789091027,-1.3481795228545788,0.0735134518331144,-0.2638177488820515
1736,202201010106,3,14,オーロロッソ,-0.3712348946887113,-0.18229082941864605,1186,-0.6204771209845258,-2.1550089271542263,0.3887368133423663,-0.5407155081216366
1737,202201010106,4,2,ケデシュ,-0.3712348946887113,-0.18229082941864605,1170,-0.6714094721052568,-0.20517120009674455,-2.7634968017501533,-0.5844362069489395
1738,202201010106,5,12,ゴールドルパン,-0.3712348946887113,0.8280348892713083,1143,0.1660131381821109,-0.07069963271346992,-0.8721566326946413,0.16464509962551696
1739,202201010106,6,6,ブルボンティアラ,-0.3712348946887113,-0.18229082941864605,1091,-0.45583533480355815,-1.81883000869604,-0.8721566326946413,-0.3949798453639603
1740,202201010106,7,1,トレフォイル,-0.3712348946887113,-1.1926165481086004,1173,0.0937602679875856,-0.13793541640510723,-0.24170990967613754,-0.08310552706253281
1741,202201010106,8,13,ミラモンテ,-0.3712348946887113,-0.18229082941864605,1109,-0.5837584492463244,-0.5413501185549311,0.0735134518331144,-0.537800794866483
1742,202201010106,9,5,スヴィルカーチ,-0.3712348946887113,-0.6874536887636232,1202,1.294816175811335,-1.1464721717796669,-1.1873799942038932,0.9487029652618155
1743,202201010106,10,7,ルテリブル,-0.3712348946887113,0.3228720299263311,1181,0.6540161303156264,-0.13793541640510723,-0.5569332711853895,0.7446730374010687
1744,202201010106,11,9,シャウビンダー,-0.3712348946887113,-0.18229082941864605,1032,-0.6323218538033004,-1.7515942250044028,0.3887368133423663,-0.5465449346319436
1745,202201010106,12,10,ジャグアーロ,-0.3712348946887113,0.8280348892713083,1144,-0.4356992890116413,-0.8775290370131177,0.0735134518331144,-0.4008092718742673
1746,202201010106,13,3,セットリスト,-0.3712348946887113,-1.6977794074535777,1192,-0.6275839606757906,0.3999508531279912,0.3887368133423663,-0.5582037876525576
1747,202201010106,14,4,テーオーノブレス,-0.3712348946887113,-1.6977794074535777,1194,1.8633633511125183,-2.0877731434625892,-0.8721566326946413,1.3334451149420807
1748,202201010107,1,8,シャスティーナ,0.4077850484128895,0.3228720299263311,1157,-0.6489044797495849,0.6016582042029032,1.0191835363608703,-0.5844362069489395
1749,202201010107,2,4,ユスティニアン,0.4077850484128895,1.3331977486162856,1109,-0.6785163117965215,-1.4826510902378534,-0.5569332711853895,-0.6164980527556282
1750,202201010107,3,2,サンランシング,0.4077850484128895,-1.1926165481086004,1177,-0.12062939603223563,0.1982435020530793,-1.502603355713145,-0.28713545492327974
1751,202201010107,4,10,コンバットマーチ,1.1868049915144903,0.3228720299263311,1015,1.1147762369659602,0.0637719346698047,-1.1873799942038932,0.5523019625609359
1752,202201010107,5,3,ガレットジョーカー,-0.3712348946887113,-2.202942266798555,1186,-0.6299529072395456,-0.4741143348632938,1.6496302593793741,-0.5552890743974042
1753,202201010107,6,9,タイガークリスエス,-0.3712348946887113,-0.18229082941864605,666,-0.6358752736489328,-0.07069963271346992,-0.8721566326946413,-0.5582037876525576
1754,202201010107,7,6,ラージベル,-0.3712348946887113,-2.202942266798555,1173,0.032167657329957404,-0.33964276748001915,-1.8178267172223972,0.05680070918483638
