race_id,goal_order, start_number, horse_name, horse_age, weight,jockey_id,single_odds,hourse_weight,weight_change
202210030401,1,12,スマートムーラン,3,54.0,01019,3.7,452,-4,1.5499999999999998
202210030401,2,14,キョウエイディーズ,3,54.0,01171,109.4,430,0,19.3
202210030401,3,5,エルザストラウム,3,50.0,01193,2.0,450,+8,1.15
202210030401,4,10,タガノヴァレンチ,3,54.0,01154,20.2,456,0,5.3
202210030401,5,6,テリオスリノ,3,51.0,01199,5.5,434,-4,1.95
202210030401,6,7,エギーユ,3,54.0,01141,93.8,474,0,14.6
202210030401,7,8,ハルキファイト,3,54.0,00732,19.4,466,0,5.35
202210030401,8,11,ダインスレイフ,3,50.0,01187,62.8,452,+14,12.45
202210030401,9,3,エバーフレッシュ,3,54.0,01157,19.5,478,+6,3.5999999999999996
202210030401,10,16,キャンミナーレ,3,54.0,01147,80.6,468,-12,11.6
202210030401,11,1,サンティエレーヌ,3,52.0,01185,108.6,486,-4,16.35
202210030401,12,9,パープルツバメ,3,54.0,01099,428.3,416,-6,83.7
202210030401,13,2,ティンタルレ,3,54.0,01102,36.6,422,-10,9.45
202210030401,14,15,タマテバコ,3,54.0,01037,34.8,474,-6,7.4
202210030401,15,13,リアルファンタジア,3,52.0,01191,78.4,440,-10,12.5
202210030401,16,4,アビークワイア,3,54.0,01180,32.5,494,-6,8.05
202210030402,1,14,サンセットクラウド,3,56.0,01088,2.7,438,-10,1.45
202210030402,2,6,ファベル,3,56.0,01014,3.2,432,+2,1.5
202210030402,3,15,カルトゥーシュ,3,56.0,01157,19.0,470,0,3.8499999999999996
202210030402,4,5,ハイグッドエース,3,56.0,01126,8.0,428,0,2.2
202210030402,5,1,ルージュヴェルダ,3,52.0,01191,48.0,478,-6,9.95
202210030402,6,10,ロードランヴェルセ,3,56.0,01018,10.5,482,+6,2.9000000000000004
202210030402,7,16,パーラーギター,3,54.0,01171,79.2,440,+2,11.5
202210030402,8,8,シュティル,3,56.0,00732,5.1,456,-10,1.85
202210030402,9,4,クリノセキトバ,3,53.0,01172,83.2,426,-6,8.05
202210030402,10,9,メトリカルセオリー,3,50.0,01193,46.8,466,+8,10.55
202210030402,11,7,ミラクルスター,3,56.0,01128,190.6,480,-8,28.75
202210030402,12,3,ワールドパレス,3,56.0,00894,219.6,444,-6,56.2
202210030402,13,2,メイショウヤナガセ,3,53.0,01199,280.0,472,0,44.25
202210030402,14,13,キンシャチノキセキ,3,51.0,01195,340.1,420,-2,73.0
202210030402,15,12,オータムソング,3,56.0,01174,53.1,470,+6,9.3
202210030402,16,11,ドンクライベイビー,3,56.0,01160,121.2,520,+4,19.8
202210030403,1,7,テイエムファクター,3,56.0,01168,2.0,456,0,1.25
202210030403,2,1,シャドウアイル,3,56.0,01174,21.2,468,-4,3.5
202210030403,3,6,アダマスミノル,3,56.0,01116,13.6,482,0,3.2
202210030403,4,12,メイショウアジロ,3,56.0,01014,3.7,468,-6,1.65
202210030403,5,14,アークデトリオンフ,3,52.0,01187,150.5,488,-4,19.55
202210030403,6,13,ベイパーコーン,3,56.0,01018,20.3,470,+2,4.4
202210030403,7,10,ハギノロックオン,3,56.0,01171,26.2,500,0,4.6
202210030403,8,16,エイシングラス,3,53.0,01199,23.7,472,0,5.65
202210030403,9,3,モズニキタイ,3,54.0,01191,40.5,514,+6,7.35
202210030403,10,2,パイロアクティヴ,3,56.0,01180,14.4,446,0,4.95
202210030403,11,4,ダイシンアキラ,3,56.0,01128,55.6,482,-12,10.95
202210030403,12,9,ノブフェーヴル,3,56.0,01141,118.9,470,+8,16.8
202210030403,13,15,エバーグロー,3,54.0,01185,222.6,478,-4,25.6
202210030403,14,5,エイブルマン,3,56.0,00732,181.8,450,-6,26.05
202210030403,15,8,スズカドゥラメンテ,3,56.0,01157,130.0,534,0,25.200000000000003
202210030404,1,14,ヤマニンループ,3,56.0,01138,28.1,430,0,8.6
202210030404,2,13,チェルノボーグ,3,56.0,01174,1.8,490,0,1.1
202210030404,3,16,ティグル,3,53.0,01172,276.3,456,-4,67.05
202210030404,4,11,メイショウケイガン,3,56.0,01126,5.4,506,-4,2.5999999999999996
202210030404,5,15,ラウルピドゥ,3,56.0,01014,11.0,464,+4,3.95
202210030404,6,7,スマートドラフト,3,54.0,01019,5.4,430,-2,2.65
202210030404,7,12,カズプレスト,3,56.0,01154,38.3,494,-10,10.95
202210030404,8,8,トモエセンニンギリ,3,54.0,01168,75.7,466,+14,16.95
202210030404,9,5,タイクーン,3,53.0,01199,25.0,514,+2,7.75
202210030404,10,6,ギルトレターズ,3,54.0,01185,132.7,478,-2,27.05
202210030404,11,10,フラワリング,3,54.0,01116,75.6,460,-2,17.0
202210030404,12,9,ツヴァイシュテルネ,3,56.0,01157,39.1,494,+22,13.85
202210030404,13,2,シゲルブリ,3,52.0,01193,72.6,412,+2,26.35
202210030404,14,1,ベルマレット,3,54.0,01102,15.7,466,+28,5.550000000000001
202210030404,15,3,シゲルタヌキ,3,56.0,01130,338.9,468,0,96.25
202210030404,16,4,ヤマニンフルリール,3,54.0,01128,329.9,450,-16,95.45
202210030405,1,10,ラヴェル,2,54.0,01174,3.1,444,0,1.6
202210030405,2,2,サンライズサラー,2,54.0,01018,36.0,436,0,7.949999999999999
202210030405,3,11,シルヴァーデューク,2,54.0,01014,4.1,462,0,1.65
202210030405,4,3,ロードラディウス,2,54.0,01171,8.2,466,0,2.05
202210030405,5,12,ルフレーヴ,2,54.0,01088,6.2,462,0,1.85
202210030405,6,9,ヒノタマボーイ,2,54.0,01116,70.2,428,0,10.8
202210030405,7,1,ヤマカツラナウェイ,2,52.0,01185,202.6,470,0,44.95
202210030405,8,8,ナムラエヴァ,2,54.0,00732,28.5,464,0,6.0
202210030405,9,4,シリンガバルガリス,2,54.0,01126,5.3,478,0,2.05
202210030405,10,6,ダンツビガー,2,54.0,00660,18.9,470,0,4.1
